groupID,nucleus_size,g_len,r_len,list_size,depth_approx,time_depth_approx,outcome,calls_recoveringl1,calls_test_conj,time_attack

G_3_3_03_1,41,10,10,10,10,18684,1,13,0,6651
G_3_3_03_1,41,100,10,10,10,18684,1,13,0,12034
G_3_3_07_1,5,10,10,10,5,840,1,6,26,145
G_3_3_07_1,5,100,10,10,5,840,1,6,0,193
G_3_3_07_1,5,10,100,10,7,25099,1,8,0,210
G_3_3_07_1,5,100,100,10,7,25099,1,8,0,217
G_3_3_07_2,3,10,10,10,4,822,0,4,43,136
G_3_3_07_2,3,100,10,10,4,822,0,4,40,200
G_3_3_07_2,3,10,100,10,6,14745,0,4,25,199
G_3_3_07_2,3,100,100,10,6,14745,0,4,127,307
G_3_3_07_3,8,10,10,10,6,909,1,9,0,163
G_3_3_07_3,8,100,10,10,6,909,1,9,0,218
G_3_3_07_3,8,10,100,10,8,24874,1,11,0,215
G_3_3_07_3,8,100,100,10,8,24874,1,11,0,313
G_3_3_03_1,41,10,100,10,17,3439204,1,20,0,64154
G_3_3_09_1,3,10,10,10,2,425,0,4,141,169
G_3_3_09_1,3,100,10,10,2,425,0,4,177,286
G_3_3_09_1,3,10,100,10,4,5395,0,4,179,268
G_3_3_09_1,3,100,100,10,4,5395,0,4,156,286
G_3_3_09_2,3,10,10,10,2,464,0,4,146,173
G_3_3_09_2,3,100,10,10,2,464,0,4,177,250
G_3_3_09_2,3,10,100,10,3,5804,0,4,180,257
G_3_3_09_2,3,100,100,10,3,5804,0,4,141,213
G_3_3_09_3,3,10,10,10,3,463,0,4,143,165
G_3_3_09_3,3,100,10,10,3,463,0,4,180,259
G_3_3_09_3,3,10,100,10,5,7101,0,4,178,245
G_3_3_09_3,3,100,100,10,5,7101,0,4,141,232
G_3_7_03_1,14,10,10,10,14,19895,1,16,0,749
G_3_7_03_1,14,100,10,10,14,19895,1,16,0,9070
G_3_7_03_1,14,10,100,10,19,3238592,1,21,0,6066
G_3_3_03_2,33,10,10,10,14,30819,1,17,1,133924
G_3_7_03_2,34,10,10,10,15,26547,1,18,0,4990
G_3_7_03_2,34,100,10,10,15,26547,1,18,0,19418
G_3_7_03_1,14,100,100,10,19,3238592,1,21,0,28993
G_3_7_07_3,3,10,10,10,4,1561,0,7,110,206
G_3_7_07_3,3,100,10,10,4,1561,0,7,189,327
G_3_7_07_3,3,10,100,10,6,28589,0,7,167,299
G_3_7_07_3,3,100,100,10,6,28589,0,7,150,277
G_3_7_03_2,34,10,100,10,19,3899733,1,22,0,25175
G_3_7_09_1,3,10,10,10,3,676,0,4,141,157
G_3_7_09_1,3,100,10,10,3,676,0,4,177,271
G_3_7_09_1,3,10,100,10,5,9278,0,4,176,261
G_3_7_09_1,3,100,100,10,5,9278,0,4,153,268
G_3_7_03_2,34,100,100,10,19,3899733,1,22,0,47422
G_3_7_09_2,3,10,10,10,3,575,0,13,319,266
G_3_7_09_2,3,100,10,10,3,575,0,13,539,531
G_3_7_09_2,3,10,100,10,4,7200,0,13,479,424
G_3_7_09_2,3,100,100,10,4,7200,0,13,441,508
G_3_7_09_3,3,10,10,10,3,614,0,4,55,149
G_3_7_09_3,3,100,10,10,3,614,0,4,3,186
G_3_7_09_3,3,10,100,10,5,7998,0,4,7,170
G_3_7_09_3,3,100,100,10,5,7998,0,4,44,201
G_3_10_03_1,25,10,10,10,21,61521,1,24,0,3387
G_3_3_03_2,33,100,10,10,14,30819,1,17,1,189356
G_3_10_03_1,25,100,10,10,21,61521,1,24,0,52316
G_3_10_03_2,38,10,10,10,27,118409,1,30,0,64264
G_3_10_03_1,25,10,100,10,28,15380171,1,31,0,99267
G_3_10_03_2,38,100,10,10,27,118409,1,30,0,192955
G_3_3_03_2,33,10,100,10,21,16841030,1,24,1,250727
G_7_3_07_1,9,10,10,10,4,2440,1,5,0,722
G_7_3_07_1,9,100,10,10,4,2440,1,5,0,835
G_7_3_07_1,9,10,100,10,5,113544,1,6,0,853
G_7_3_07_1,9,100,100,10,5,113544,1,6,0,1011
G_3_10_03_1,25,100,100,10,28,15380171,1,31,0,200141
G_7_3_07_2,21,10,10,10,5,3998,1,7,0,852
G_7_3_07_2,21,100,10,10,5,3998,1,7,0,1522
G_7_3_07_2,21,10,100,10,7,275036,1,9,0,1977
