groupID,nucleus_size,g_len,r_len,list_size,depth_approx,time_depth_approx,outcome,calls_recoveringl1,calls_test_conj,time_attack

G_3_3_03_1,41,10,10,5,10,18684,1,32,96,20580
G_3_3_03_1,41,10,10,5,10,18684,1,13,7,1600
G_3_3_03_1,41,10,10,5,10,18684,1,13,23,721
G_3_3_07_1,5,10,10,5,5,840,1,35,205,517
G_3_3_07_1,5,10,10,5,5,840,1,7,27,157
G_3_3_07_1,5,10,10,5,5,840,1,28,389,396
G_3_3_07_1,5,10,10,5,5,840,0,40,933,891
G_3_3_07_1,5,10,10,5,5,840,1,11,72,163
G_3_3_07_1,5,10,10,5,5,840,1,32,117,555
G_3_3_07_1,5,10,10,5,5,840,1,6,1,119
G_3_3_07_1,5,10,10,5,5,840,1,8,33,265
G_3_3_07_1,5,10,10,5,5,840,1,19,130,286
G_3_3_07_1,5,10,10,5,5,840,1,19,154,196
G_3_3_07_1,5,10,10,10,5,840,1,6,5,155
G_3_3_07_1,5,10,10,10,5,840,1,6,2,132
G_3_3_07_1,5,10,10,10,5,840,1,6,5,121
G_3_3_07_1,5,10,10,10,5,840,1,6,13,156
G_3_3_07_1,5,10,10,10,5,840,1,6,0,156
G_3_3_07_1,5,10,10,10,5,840,1,6,11,144
G_3_3_07_1,5,10,10,10,5,840,1,6,2,129
G_3_3_07_1,5,10,10,10,5,840,1,6,0,119
G_3_3_07_1,5,10,10,10,5,840,1,6,0,148
G_3_3_07_1,5,10,10,10,5,840,1,6,8,152
G_3_3_07_1,5,10,10,50,5,840,1,6,0,231
G_3_3_07_1,5,10,10,50,5,840,1,6,0,229
G_3_3_07_1,5,10,10,50,5,840,1,6,0,240
G_3_3_07_1,5,10,10,50,5,840,1,6,3,240
G_3_3_07_1,5,10,10,50,5,840,1,6,0,218
G_3_3_07_1,5,10,10,50,5,840,1,6,12,232
G_3_3_07_1,5,10,10,50,5,840,1,6,0,213
G_3_3_07_1,5,10,10,50,5,840,1,6,0,233
G_3_3_07_1,5,10,10,50,5,840,1,6,5,245
G_3_3_07_1,5,10,10,50,5,840,1,6,0,220
G_3_3_07_1,5,100,10,5,5,840,1,6,0,159
G_3_3_07_1,5,100,10,5,5,840,1,6,0,152
G_3_3_07_1,5,100,10,5,5,840,1,6,0,147
G_3_3_07_1,5,100,10,5,5,840,1,6,0,165
G_3_3_07_1,5,100,10,5,5,840,1,6,0,151
G_3_3_07_1,5,100,10,5,5,840,1,6,0,177
G_3_3_07_1,5,100,10,5,5,840,1,6,0,155
G_3_3_07_1,5,100,10,5,5,840,1,6,0,141
G_3_3_07_1,5,100,10,5,5,840,1,6,0,157
G_3_3_07_1,5,100,10,5,5,840,1,6,0,160
G_3_3_07_1,5,100,10,10,5,840,1,6,0,162
G_3_3_07_1,5,100,10,10,5,840,1,6,0,178
G_3_3_07_1,5,100,10,10,5,840,1,6,0,163
G_3_3_07_1,5,100,10,10,5,840,1,6,0,174
G_3_3_07_1,5,100,10,10,5,840,1,6,0,166
G_3_3_07_2,3,10,10,5,4,822,0,2,61,107
G_3_3_07_2,3,10,10,5,4,822,0,4,103,143
G_3_3_07_1,5,100,10,10,5,840,1,6,0,189
G_3_3_07_2,3,10,10,5,4,822,0,5,147,247
G_3_3_07_1,5,100,10,10,5,840,1,6,0,174
G_3_3_07_2,3,10,10,5,4,822,0,4,100,162
G_3_3_07_1,5,100,10,10,5,840,1,6,0,172
G_3_3_07_2,3,10,10,5,4,822,0,5,37,110
G_3_3_07_1,5,100,10,10,5,840,1,6,0,170
G_3_3_07_2,3,10,10,5,4,822,0,4,89,139
G_3_3_07_2,3,10,10,5,4,822,0,5,86,127
G_3_3_07_1,5,100,10,10,5,840,1,6,0,169
G_3_3_07_2,3,10,10,5,4,822,0,4,120,144
G_3_3_07_2,3,10,10,5,4,822,0,4,65,147
G_3_3_07_1,5,100,10,50,5,840,1,6,0,271
G_3_3_07_2,3,10,10,5,4,822,0,4,97,154
G_3_3_07_2,3,10,10,10,4,822,0,4,11,116
G_3_3_07_1,5,100,10,50,5,840,1,6,0,275
