groupID,nucleus_size,g_len,r_len,list_size,depth_approx,time_depth_approx,outcome,time_attack
IMG,4,4,10,5,8,36,1,11648
IMG,4,4,10,5,8,36,1,11918
IMG,4,4,10,5,8,36,1,10518
IMG,4,4,10,5,8,36,1,8332
IMG,4,4,10,5,8,36,1,10608
IMG,4,4,10,5,8,36,0,32748
GRIGORCHUK,5,4,10,5,4,65,1,182034
GRIGORCHUK,5,4,10,10,4,65,1,222022
IMG,4,4,10,10,8,36,1,8218
IMG,4,4,10,10,8,36,1,9246
IMG,4,4,10,10,8,36,1,8160
IMG,4,4,10,10,8,36,1,9289
IMG,4,4,10,10,8,36,1,8164
IMG,4,4,10,10,8,36,1,9381
IMG,4,4,10,10,8,36,1,7077
IMG,4,4,10,10,8,36,1,9735
IMG,4,4,10,10,8,36,1,8216
IMG,4,4,10,10,8,36,1,8467
IMG,4,4,100,10,14,12,1,58318
GRIGORCHUK,5,4,10,10,4,65,1,180735
GRIGORCHUK,5,4,10,5,4,65,1,221988
IMG,4,4,100,10,14,12,1,86072
IMG,4,4,100,10,14,12,1,72270
GRIGORCHUK,5,4,10,10,4,65,0,179687
GRIGORCHUK,5,4,10,5,4,65,1,184630
IMG,4,4,100,10,14,12,1,79885
IMG,4,4,100,10,14,12,1,73179
GGS_STAB_3_1,5,3,10,5,3,1158,0,49688
GGS_STAB_3_1,5,3,10,5,3,1158,0,26148
GGS_STAB_3_1,5,3,10,10,3,1158,0,53998
IMG,4,4,100,10,14,12,1,75187
GGS_STAB_3_1,5,3,10,5,3,1158,0,49804
GRIGORCHUK,5,4,10,10,4,65,1,207756
GGS_STAB_3_1,5,3,10,10,3,1158,0,54672
GGS_STAB_3_2,5,3,10,5,3,1062,0,102439
GGS_STAB_3_2,5,3,10,10,3,1062,0,100797
GRIGORCHUK,5,4,10,5,4,65,1,211851
IMG,4,4,100,10,14,12,1,80377
GGS_STAB_3_1,5,3,10,5,3,1158,0,56443
GGS_STAB_3_1,5,3,10,10,3,1158,0,62802
GGS_STAB_3_2,5,3,10,10,3,1062,0,56886
GGS_STAB_3_1,5,3,10,5,3,1158,0,48314
IMG,4,4,100,10,14,12,1,66311
GGS_STAB_3_1,5,3,10,10,3,1158,0,54148
GGS_STAB_3_2,5,3,10,5,3,1062,0,121648
GGS_STAB_3_1,5,3,10,5,3,1158,0,47960
GGS_STAB_3_1,5,3,10,10,3,1158,0,50124
GGS_STAB_3_2,5,3,10,5,3,1062,0,52590
IMG,4,4,100,10,14,12,1,81000
GRIGORCHUK,5,4,10,10,4,65,1,202681
GGS_STAB_3_2,5,3,10,10,3,1062,0,119141
GGS_STAB_3_1,5,3,10,5,3,1158,0,69929
GRIGORCHUK,5,4,10,5,4,65,0,201822
GGS_STAB_3_1,5,3,10,10,3,1158,0,59794
IMG,4,4,100,10,14,12,1,78372
